Rows,Id,Unknown1,ModTypeKey,Level,Stat1 (Stats.dat Row),Stat2 (Stats.dat Row),Stat3 (Stats.dat Row),Stat4 (Stats.dat Row),Domain,Name,GenerationType,CorrectGroup,Stat1Min,Stat1Max,Stat2Min,Stat2Max,Stat3Min,Stat3Max,Stat4Min,Stat4Max,SpawnWeightTagsKeys,SpawnWeightValues,BuffDefinitionsKey,BuffValue,TagsKeys,GrantedEffectsPerLevelKey,Data3,Data4,MonsterMetadata,Unknown2,Unknown3,Unknown4,Stat5Min,Stat5Max,StatsKey5,Keys0,AchievementItemsKey,GenerationWeight_TagsKeys,GenerationWeight_Values,Data5,IsEssenceOnlyModifier,UnknownMapMin,UnknownMapMax,Unknown5,Unknown6
0,Strength1,22100,226,1,576,-1,-1,-1,1,of the Brute,2,Strength,8,12,0,0,0,0,0,0,"[2, 3, 26, 38, 41, 42, 44, 12, 11, 37, 10, 15, 0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 0]",-1,0,[],-1,[],[],,[],[],-1,0,0,-1,[],-1,[],[],[],False,0,0,-1,238
1,Strength2,53672,226,11,576,-1,-1,-1,1,of the Wrestler,2,Strength,13,17,0,0,0,0,0,0,"[2, 3, 26, 38, 41, 42, 44, 12, 11, 37, 10, 15, 0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 0]",-1,0,[],-1,[],[],,[],[],-1,0,0,-1,[],-1,[],[],[],False,0,0,-1,416
2,Strength3,27615,226,22,576,-1,-1,-1,1,of the Bear,2,Strength,18,22,0,0,0,0,0,0,"[2, 3, 26, 38, 41, 42, 44, 12, 11, 37, 10, 15, 0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 0]",-1,0,[],-1,[],[],,[],[],-1,0,0,-1,[],-1,[],[],[],False,0,0,-1,584
3,Strength4,49948,226,33,576,-1,-1,-1,1,of the Lion,2,Strength,23,27,0,0,0,0,0,0,"[2, 3, 26, 38, 41, 42, 44, 12, 11, 37, 10, 15, 0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 0]",-1,0,[],-1,[],[],,[],[],-1,0,0,-1,[],-1,[],[],[],False,0,0,-1,752
4,Strength5,34513,226,44,576,-1,-1,-1,1,of the Gorilla,2,Strength,28,32,0,0,0,0,0,0,"[2, 3, 26, 38, 41, 42, 44, 12, 11, 37, 10, 15, 0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 0]",-1,0,[],-1,[],[],,[],[],-1,0,0,-1,[],-1,[],[],[],False,0,0,-1,926
5,Strength6,7645,226,55,576,-1,-1,-1,1,of the Goliath,2,Strength,33,37,0,0,0,0,0,0,"[2, 3, 26, 38, 41, 42, 44, 12, 11, 37, 10, 15, 0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 0]",-1,0,[],-1,[],[],,[],[],-1,0,0,-1,[],-1,[],[],[],False,0,0,-1,1100
6,Strength7,13917,226,66,576,-1,-1,-1,1,of the Leviathan,2,Strength,38,42,0,0,0,0,0,0,"[2, 3, 26, 38, 41, 42, 44, 12, 11, 37, 10, 15, 0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 0]",-1,0,[],-1,[],[],,[],[],-1,0,0,-1,[],-1,[],[],[],False,0,0,-1,1278
7,Strength8,4242,226,74,576,-1,-1,-1,1,of the Titan,2,Strength,43,50,0,0,0,0,0,0,"[2, 3, 26, 38, 41, 42, 44, 12, 11, 37, 10, 15, 0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 0]",-1,0,[],-1,[],[],,[],[],-1,0,0,-1,[],-1,[],[],[],False,0,0,-1,1448
8,Strength9,49770,226,82,576,-1,-1,-1,1,of the Gods,2,Strength,51,55,0,0,0,0,0,0,"[2, 3, 26, 38, 41, 42, 44, 12, 11, 37, 10, 15, 0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 0]",-1,0,[],-1,[],[],,[],[],-1,0,0,-1,[],-1,[],[],[],False,0,0,-1,1616
9,Strength10,18858,226,85,576,-1,-1,-1,1,of the Godslayer,2,Strength,56,60,0,0,0,0,0,0,"[26, 0]","[1000, 0]",-1,0,[],-1,[],[],,[],[],-1,0,0,-1,[],-1,[],[],[],False,0,0,-1,1716
